NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,DESTINO,FECHA DE ENVÍO,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,CANTIDAD DE CAJAS,COMENTARIOS
C05485,232840,FIESTA INN AEROPUERTO FIAPT,"MEXICO, DF.",05/01/2026,07/01/2026,06/01/2026,TRES GUERRAS,GLZ02763023,400,2,07 EMBARQUE ENTREGADO
C01553,232841,FIESTA INN PERINORTE (FIPER),"TULTITLAN, MEX.",05/01/2026,07/01/2026,,EXXPREZO,0-1750169,40,1,Sin Informacion
C05936,232842,FIESTA INN PUERTO VALLARTA LA ISLA (FIPVT),"Puerto Vallarta, JAL.",05/01/2026,07/01/2026,06/01/2026,TRES GUERRAS,GLZ02762935,400,4,07 EMBARQUE ENTREGADO
C05498,232843,FIESTA AMERICANA EXPLOREAN KOHUNLICH (EXKO),"CHETUMAL, QR.",06/01/2026,13/01/2026,,FLETES DE REGRESO,0,0,18,Sin Informacion
C01555,232844,FIESTA INN TOLUCA TOLLOCAN (FITOL),"TOLUCA, MEX.",08/01/2026,12/01/2026,,TRES GUERRAS,GLZ02767054,1088.71,3,01 RECIBIDO EN BODEGA EMBARQUES
C08358,232847,HILTON VALLARTA RIVIERA ALL INCLUSIVE (PVRPA),"Puerto Vallarta, JAL.",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764791,3749.6,80,07 EMBARQUE ENTREGADO
C03820,232848,HOTEL MINA REAL,"MATEHUALA, SLP.",06/01/2026,12/01/2026,07/01/2026,TRES GUERRAS,GLZ02764933,300,5,07 EMBARQUE ENTREGADO
C03977,232850,HOLIDAY INN EXPRESS CABO SAN LUCAS (SJDL),"CABO SAN LUCAS, BCS.",06/01/2026,13/01/2026,,TRES GUERRAS,GLZ02764796,1037.61,9,13 BODEGA DE REEMBARQUES
C08479,232855,AVID TIJUANA OTAY(TIJAV),"TIJUANA, BC.",06/01/2026,13/01/2026,,TRES GUERRAS,GLZ02764799,1068,12,03 TRANSITO ENTRE SUCURSALES
C08350,232856,GARDEN INN PUEBLA (PBCGI),"SAN ANDRES, PUE.",06/01/2026,08/01/2026,,EXXPREZO,0-1750885,480,12,Sin Informacion
C07188,232857,CITY EXPRESS LEON (CELEO),"LEON, GTO.",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764806,400,1,07 EMBARQUE ENTREGADO
C01474,232858,COURTYARD MEXICO CITY REVOLUCION,"CDMX, CMX.",06/01/2026,08/01/2026,,EXXPREZO,0-1750888,840,21,Sin Informacion
C09095,232859,CASA HAUS HOTEL,"PUEBLA, PUE.",06/01/2026,08/01/2026,,EXXPREZO,0-1750893,80,2,Sin Informacion
C06215,232860,HOTEL VICTORIA INN,"CD. VICTORIA TAMAULIPAS, TAM.",06/01/2026,09/01/2026,,CASTORES,14270169735,1250,15,Sin Informacion
C07962,232861,COMFORT INN DELICIAS (143196),"DELICIAS, CHI.",06/01/2026,13/01/2026,08/01/2026,TRES GUERRAS,GLZ02764808,445,18,07 EMBARQUE ENTREGADO
C07226,232862,CITY JUNIOR TUXTLA GUTIERREZ POLIFORUM (CJTGZ),"TUXTLA GUTIERREZ, CHS.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02764813,890,10,03 TRANSITO ENTRE SUCURSALES
C07739,232863,HOTEL RIAZOR,"CIUDAD DE MEXICO, CMX.",06/01/2026,08/01/2026,,EXXPREZO,0-1750894,1120,28,Sin Informacion
C09341,232864,FIESTA AMERICANA HACIENDA IXTAPAN DE LA SAL (FAHI),"IXTAPAN DE LA SAL, MEX.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02764779,240,4,05 RECIBIDO EN BODEGA DE REPARTO
C09341,232865,FIESTA AMERICANA HACIENDA IXTAPAN DE LA SAL (FAHI),"IXTAPAN DE LA SAL, MEX.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02764779,60,1,05 RECIBIDO EN BODEGA DE REPARTO
C07229,232866,CITY EXPRESS QUERETARO JURICA (CEQRJ),"QUERETARO, QUE.",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764770,60,1,07 EMBARQUE ENTREGADO
C07229,232867,CITY EXPRESS QUERETARO JURICA (CEQRJ),"QUERETARO, QUE.",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764770,1240,21,07 EMBARQUE ENTREGADO
C08936,232868,CITY EXPRESS BY MARRIOTT TULA (CETUL),"ATITALAQUIA, HID.",06/01/2026,12/01/2026,07/01/2026,TRES GUERRAS,GLZ02764824,60,1,07 EMBARQUE ENTREGADO
C08936,232869,CITY EXPRESS BY MARRIOTT TULA (CETUL),"ATITALAQUIA, HID.",06/01/2026,12/01/2026,07/01/2026,TRES GUERRAS,GLZ02764824,720,11,07 EMBARQUE ENTREGADO
C01915,232870,COURTYARD TUXPAN,"TUXPAN, VER.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02764822,979,11,06 DESPACHADO PARA ENTREGA DOMICI
C02635,232871,CITY EXPRESS CIUDAD DEL CARMEN (CECME ),"DEL CARMEN, CAM.",06/01/2026,13/01/2026,,TRES GUERRAS,GLZ02764819,890,10,03 TRANSITO ENTRE SUCURSALES
C08341,232873,DOUBLETREE SANTA FE (MEXST),", CMX.",06/01/2026,08/01/2026,,EXXPREZO,0-1750899,600,15,Sin Informacion
C08341,232875,DOUBLETREE SANTA FE (MEXST),", CMX.",06/01/2026,08/01/2026,,EXXPREZO,0-1750899,1160,14,Sin Informacion
C04454,232877,HOTEL FONTAN REFORMA,"CUAUHTEMOC, CMX.",06/01/2026,08/01/2026,,EXXPREZO,0-1750901,1200,30,Sin Informacion
C01783,232878,MG COMERCIALIZADORA,"MAZATLAN, SIN.",06/01/2026,09/01/2026,06/01/2026,TRES GUERRAS,GLZ02762971,3749.6,76,07 EMBARQUE ENTREGADO
CG0024,232879,FARMASES,"MONTERREY, NL.",06/01/2026,08/01/2026,08/01/2026,EXXPREZO,0-1750904,1000,25,Sin Informacion
C08701,232880,PUNTO LOFTS,"COYOACAN, CMX.",06/01/2026,08/01/2026,,EXXPREZO,0-1750906,80,2,Sin Informacion
C03232,232881,CABO VISTA HOTEL,"CABO SAN LUCAS, BCS.",06/01/2026,13/01/2026,,TRES GUERRAS,GLZ02764883,523.89,3,13 BODEGA DE REEMBARQUES
C03473,232882,HOTEL IMPERIAL SAN MARTIN TEXMELUCAN,"SAN MARTIN TEXMELUCAN, PUE.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02764889,400.02,3,06 DESPACHADO PARA ENTREGA DOMICI
C01482,232883,HOTEL VICTORIA OAX,"OAXACA DE JUAREZ, OAX.",06/01/2026,09/01/2026,,TRES GUERRAS,GLZ02764917,2314,26,06 DESPACHADO PARA ENTREGA DOMICI
C02002,232885,HOTEL LUCERNA HERMOSILLO,"HERMOSILLO, SON.",06/01/2026,09/01/2026,,TINY PACK,GDL 45266,887.88,16,Sin Informacion
C08488,232886,HAMPTON INN LOS CABOS (SJDMX),"LOS CABOS, BCS.",06/01/2026,13/01/2026,,TRES GUERRAS,GLZ02764992,3458.7,30,13 BODEGA DE REEMBARQUES
C01586,232887,FIESTA INN VERACRUZ MALECON (FIVZM),"VERACRUZ, VER.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02766902,445,3,03 TRANSITO ENTRE SUCURSALES
C07255,232888,CITY PLUS MUNDO E (CPSTM),"TLANEPANTLA, CMX.",06/01/2026,08/01/2026,,EXXPREZO,0-1750919,480,12,Sin Informacion
C07554,232889,CITY EXPRESS GUAYMAS (CEGYM),"GUAYMAS, SON.",06/01/2026,09/01/2026,,TINY PACK,GDL 45268,453.94,8,Sin Informacion
C07191,232891,CITY EXPRESS REYNOSA AEROPUERTO (CEREA),"REYNOSA, TAM.",06/01/2026,12/01/2026,,CASTORES,14270169730,1250,15,Sin Informacion
C07189,232892,CITY EXPRESS MANZANILLO (CEZLO),"MANZANILLO, COL.",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764966,1080,18,07 EMBARQUE ENTREGADO
C02482,232893,PACIFICA RESORTS IXTAPA,"IXTAPA ZIHUATANEJO, GRO.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02764996,6056.56,107,06 DESPACHADO PARA ENTREGA DOMICI
C00112,232894,HOLIDAY INN EXPRESS MORELIA (MLMRA) A0200840,"MORELIA, MCH.",06/01/2026,09/01/2026,,TRES GUERRAS,GLZ02766863,1200,20,06 DESPACHADO PARA ENTREGA DOMICI
C07609,232895,CITY EXPRESS CHETUMAL (CECTM),"CHETUMAL, QR.",06/01/2026,13/01/2026,,CASTORES,14270169731,1149,13,Sin Informacion
C07164,232896,CITY JUNIOR VILLAHERMOSA (CJVSA),"VILLAHERMOSA, TAB.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02765010,1335,15,06 DESPACHADO PARA ENTREGA DOMICI
C05434,232897,HOTEL MISION EXPRESS DURANGO,"DURANGO, DUR.",06/01/2026,09/01/2026,,TINY PACK,DG 236379,453.94,8,Sin Informacion
C08500,232898,HAMPTON INN PIEDRAS NEGRAS,"PIEDRAS NEGRAS, COA.",06/01/2026,09/01/2026,,TRES GUERRAS,GLZ02766873,801,9,13 BODEGA DE REEMBARQUES
C07174,232899,CITY EXPRESS VILLAHERMOSA (CEVSA),"VILLAHERMOSA, TAB.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02764876,979,11,06 DESPACHADO PARA ENTREGA DOMICI
C07257,232900,CITY CENTRO CIUDAD DE MEXICO (CCMEX),"CIUDAD DE MEXICO, CMX.",06/01/2026,08/01/2026,,EXXPREZO,0-1750928,400,10,Sin Informacion
C07307,232901,CITY EXPRESS SALTILLO NORTE (CESAL),"Saltillo, COA.",06/01/2026,09/01/2026,,TINY PACK,GD 3460961,1321.83,24,Sin Informacion
C07418,232902,CITY EXPRESS PLUS INTERLOMAS (CPINT),"HUIXQUILUCAN, CMX.",06/01/2026,08/01/2026,,EXXPREZO,0-1751047,908,12,Sin Informacion
C01615,232903,CASA GRANDE DELICIAS(CUUDE),"CIUDAD DELICIAS, CHI.",06/01/2026,13/01/2026,,TRES GUERRAS,GLZ02766866,445,5,03 TRANSITO ENTRE SUCURSALES
C07450,232904,CITY EXPRESS LA VILLA (CEVIL),"CIUDAD DE MEXICO, CMX.",06/01/2026,08/01/2026,,EXXPREZO,0-1750948,680,17,Sin Informacion
C07216,232905,CITY SUITES QUERETARO (CSQRO),"QUERETARO, QUE.",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764875,900,15,07 EMBARQUE ENTREGADO
C07574,232906,CITY EXPRESS CELAYA (CECEL),"CELAYA, GTO.",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764869,840,14,07 EMBARQUE ENTREGADO
C07159,232907,CITY EXPRESS TEPIC (CETPQ),"TEPIC, NAY.",06/01/2026,08/01/2026,,TINY PACK,GDL 45273,1430.31,26,Sin Informacion
C04178,232909,CITY EXPRESS APIZACO (CETXA),"APIZACO, TLA.",06/01/2026,13/01/2026,,TRES GUERRAS,GLZ02764864,840,14,04 ARRIBO DE VIAJE
C08766,232910,HILTON MONTERREY (MTYVO),"MONTERREY, NL.",06/01/2026,08/01/2026,08/01/2026,EXXPREZO,0-1750951,680,17,Sin Informacion
C07208,232911,CITY JUNIOR SAN LUIS ZONA INDUSTRIAL (CJSLI),"SAN LUIS POTOSI, SLP.",06/01/2026,08/01/2026,08/01/2026,EXXPREZO,0-1750966,400,10,Sin Informacion
C05221,232912,RAMADA BY WIDHAM PERINORTE,"TLALNEPANTLA DE BAZ, CMX.",06/01/2026,08/01/2026,08/01/2026,EXXPREZO,0-1750968,520,13,Sin Informacion
C07247,232913,CITY EXPRESS PIEDRAS NEGRAS (CEPDS),"PIEDRAS NEGRAS, COA.",06/01/2026,09/01/2026,,TRES GUERRAS,GLZ02764857,2047,23,06 DESPACHADO PARA ENTREGA DOMICI
C01721,232914,CITY EXPRESS TAMPICO (CETAM),"TAMPICO, TAM.",06/01/2026,08/01/2026,08/01/2026,TRES GUERRAS,GLZ02764850,960,16,07 EMBARQUE ENTREGADO
C07212,232915,CITY PLUS PERIFERICO SUR TLALPAN (CPPST),"TLALPAN, DF2.",06/01/2026,08/01/2026,,EXXPREZO,0-1750970,800,20,Sin Informacion
C08067,232916,CITY EXPRESS DE LAGOS DE MORENO (CELDM),"LAGOS DE MORENO, JAL.",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764841,600,10,07 EMBARQUE ENTREGADO
C04242,232917,HAMPTON INN SILAO AEROPUERTO,"SILAO, GTO.",08/01/2026,12/01/2026,,TRES GUERRAS,0,0,7,Sin Informacion
C08505,232918,GARDEN INN TUXTLA (TGZGI),"TUXTLA GUTIERREZ, CHS.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02764832,2225,25,06 DESPACHADO PARA ENTREGA DOMICI
C07058,232919,FAIRFIELD INN AND SUITES SILAO,"SILAO, GTO.",06/01/2026,08/01/2026,,TRES GUERRAS,GLZ02766870,720,12,06 DESPACHADO PARA ENTREGA DOMICI
C07575,232920,CITY EXPRESS PLUS PATIO UNIVERSITARIO (CEPUN),"BENITO JUAREZ, CMX.",06/01/2026,08/01/2026,,EXXPREZO,0-1750954,1000,25,Sin Informacion
C07411,232921,CITY EXPRESS PLUS MERIDA (CPMID),"MERIDA, YUC.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02764828,1691,19,03 TRANSITO ENTRE SUCURSALES
C07351,232923,CITY EXPRESS SALTILLO SUR (CESLW),"Saltillo, COA.",06/01/2026,09/01/2026,,TINY PACK,GD 3460964,1159.09,21,Sin Informacion
C03092,232924,HOTEL LUCERNA MEXICALI,"MEXICALI, BC.",06/01/2026,13/01/2026,,TRES GUERRAS,GLZ02766872,2759,31,01 RECIBIDO EN BODEGA EMBARQUES
C08019,232926,HOTEL VIVE PLACE,"AGUASCALIENTES, AGS.",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764866,400,2,07 EMBARQUE ENTREGADO
C07589,232927,CITY EXPRESS CENTRAL DE ABASTOS (CECEA),"CIUDAD DE MEXICO, CMX.",06/01/2026,08/01/2026,,EXXPREZO,0-1750957,560,14,Sin Informacion
C07196,232928,CITY JUNIOR CIUDAD DEL CARMEN AEROPUERTO (CJCMI),"CIUDAD DEL CARMEN, CAM.",06/01/2026,09/01/2026,,TRES GUERRAS,GLZ02764763,979,11,03 TRANSITO ENTRE SUCURSALES
C01016,232929,HOLIDAY INN VERACRUZ (VCRMX),"BOCA DEL RIO, VER.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02766862,1068,12,03 TRANSITO ENTRE SUCURSALES
C07217,232930,CITY JUNIOR AEROPUERTO (CJTLC),"TOLUCA, MEX.",06/01/2026,08/01/2026,,TRES GUERRAS,GLZ02766876,600,10,05 RECIBIDO EN BODEGA DE REPARTO
C08182,232931,HAMPTON INN NUEVO VALLARTA (PVRNV),"NUEVO VALLARTA, NAY.",06/01/2026,08/01/2026,,TRES GUERRAS,GLZ02766888,400,4,01 RECIBIDO EN BODEGA EMBARQUES
C08128,232932,HOLIDAY INN EXPRESS MONTERREY FUNDIDORA (MTYFU),"MONTERREY, NL.",06/01/2026,08/01/2026,08/01/2026,EXXPREZO,0-1750971,400,10,Sin Informacion
C07242,232933,CITY EXPRESS SALAMANCA (CESLM),"SALAMANCA, GTO.",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764755,720,12,07 EMBARQUE ENTREGADO
C09248,232934,HOTEL HOSTAL DE CORTES,"VERACRUZ, VER.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02766821,890,10,03 TRANSITO ENTRE SUCURSALES
C07183,232935,CITY EXPRESS COMITAN (CECJT),"COMITÁN DE DOMÍNGUEZ, CHS.",06/01/2026,13/01/2026,,TRES GUERRAS,GLZ02764752,890,10,13 BODEGA DE REEMBARQUES
C08582,232937,VOCO SALTILLO (SLWVC,"Saltillo, COA.",06/01/2026,09/01/2026,,TINY PACK,GD 3460966,453.94,8,Sin Informacion
C07249,232938,CITY JUNIOR AGUASCALIENTES CENTRO (CJAGU),"AGUASCALIENTES, AGS.",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764748,360,7,07 EMBARQUE ENTREGADO
C08139,232939,CITY EXPRESS XALAPA (CEJAL),"XALAPA, VER.",06/01/2026,12/01/2026,07/01/2026,TRES GUERRAS,GLZ02764744,1068,12,07 EMBARQUE ENTREGADO
C08140,232940,CITY EXPRESS MAZATLAN (CEMZT),"MAZATLAN, SIN.",06/01/2026,09/01/2026,07/01/2026,TRES GUERRAS,GLZ02764739,660,11,07 EMBARQUE ENTREGADO
C08453,232941,GARDEN INN AGUASCALIENTES (AGUGI),"AGUASCALIENTES, AGS.",06/01/2026,08/01/2026,,TRES GUERRAS,GLZ02766864,720,12,06 DESPACHADO PARA ENTREGA DOMICI
C07627,232942,CITY EXPRESS PLUS SAN LUIS POTOSI (CPSLP),"SAN LUIS POTOSI, SLP.",06/01/2026,08/01/2026,08/01/2026,EXXPREZO,0-1750998,560,14,Sin Informacion
C07171,232943,CITY EXPRESS SALINA CRUZ (CESCX),"SALINA CRUZ, OAX.",06/01/2026,09/01/2026,08/01/2026,TRES GUERRAS,GLZ02764734,1068,12,07 EMBARQUE ENTREGADO
C09268,232945,HAMPTON INN QUERETARO JURIQUILLA,"QUERETARO, QUE.",06/01/2026,08/01/2026,,TRES GUERRAS,GLZ02766904,400,4,06 DESPACHADO PARA ENTREGA DOMICI
C07198,232946,CITY EXPRESS PARAISO (CEPAT),"PARAISO, TAB.",06/01/2026,12/01/2026,,TRES GUERRAS,GLZ02764783,890,10,05 RECIBIDO EN BODEGA DE REPARTO
C06223,232949,HAMPTON INN CELAYA (CYWCM),"CELAYA, GTO.",07/01/2026,09/01/2026,,TRES GUERRAS,GLZ02766827,400,4,06 DESPACHADO PARA ENTREGA DOMICI
C07156,232953,CITY EXPRESS OAXACA (CEOAX),"OAXACA DE JUAREZ, OAX.",07/01/2026,12/01/2026,,TRES GUERRAS,GLZ02766825,1780,20,03 TRANSITO ENTRE SUCURSALES
C08680,232954,DOUBLETREE QUERETARO (QRODT),"QUERETARO, QUE.",07/01/2026,09/01/2026,,EXXPREZO,0-1751847,480,12,Sin Informacion
C02470,232956,ROYAL AUTO HOTEL,"MINATITLAN, VER.",07/01/2026,13/01/2026,,TRES GUERRAS,GLZ02766794,801,9,13 BODEGA DE REEMBARQUES
C08834,232957,HOTEL WINDAY,"VERACRUZ, VER.",07/01/2026,13/01/2026,,TRES GUERRAS,GLZ02766788,534,6,03 TRANSITO ENTRE SUCURSALES
C09526,232960,HOTEL ZAPOTLAN,"ZAPOTLAN EL GRANDE, JAL.",07/01/2026,09/01/2026,,TRES GUERRAS,GLZ02766784,300,5,06 DESPACHADO PARA ENTREGA DOMICI
C08062,232961,AUTO HOTEL NOCHE BUENA,"GUANAJUATO, GTO.",07/01/2026,09/01/2026,08/01/2026,TRES GUERRAS,GLZ02766779,400,4,07 EMBARQUE ENTREGADO
C08323,232962,HOLIDAY INN EXPRESS SAN LUIS POTOSI A0201813 (SLPMV),"SAN LUIS POTOSI, SLP.",07/01/2026,09/01/2026,08/01/2026,TRES GUERRAS,GLZ02766829,400,2,07 EMBARQUE ENTREGADO
C06557,232963,COURTYARD MARRIOTT MEXICO CITY VALLEJO A0097805,"CDMX, CMX.",07/01/2026,09/01/2026,,TRES GUERRAS,GLZ02766832,1380,11,06 DESPACHADO PARA ENTREGA DOMICI
C05176,232964,HOLIDAY INN & SUITES LEON (BJXPM),"LEON, GTO.",07/01/2026,09/01/2026,,TRES GUERRAS,GLZ02766839,480,8,06 DESPACHADO PARA ENTREGA DOMICI
C07252,232965,CITY EXPRESS CIUDAD DE MEXICO ALAMEDA (CEALM),"CUAUHTEMOC, CMX.",07/01/2026,09/01/2026,,TRES GUERRAS,GLZ02766835,1140,19,06 DESPACHADO PARA ENTREGA DOMICI
C07200,232967,CITY EXPRESS TEHUACAN (CETCN),"TEHUACAN, PUE.",07/01/2026,12/01/2026,,TRES GUERRAS,GLZ02766853,1335,15,06 DESPACHADO PARA ENTREGA DOMICI
C03131,232968,RESIDENCIAL MATAMOROS,"MATAMOROS, TAM.",07/01/2026,13/01/2026,,CASTORES,14270169830,2435,30,Sin Informacion
C07256,232971,CITY EXPRESS LA RAZA (CELRZ),"CIUDAD DE MEXICO, CMX.",07/01/2026,09/01/2026,,EXXPREZO,0-1751855,720,18,Sin Informacion
C07260,232973,CITY EXPRESS TIJUANA OTAY (CETIO),"TIJUANA, BC.",07/01/2026,14/01/2026,,TRES GUERRAS,GLZ02766852,1602,18,03 TRANSITO ENTRE SUCURSALES
C06557,232974,COURTYARD MARRIOTT MEXICO CITY VALLEJO A0097805,"CDMX, CMX.",07/01/2026,09/01/2026,,TRES GUERRAS,GLZ02766832,858,12,06 DESPACHADO PARA ENTREGA DOMICI
C08275,232975,HILTON MEXICO CITY REFORMA (MEXRF),"DELEGACION CUAUHTEMOC, CMX.",07/01/2026,09/01/2026,,EXXPREZO,0-1752343,1440,36,Sin Informacion
C07253,232977,CITY EXPRESS ROSARITO (CEROS),"PLAYAS DE ROSARITO, BC.",07/01/2026,14/01/2026,,TRES GUERRAS,GLZ02766851,979,11,03 TRANSITO ENTRE SUCURSALES
C07423,232978,CITY EXPRESS TAPACHULA (CETAP),"TAPACHULA, CHS.",07/01/2026,14/01/2026,,TRES GUERRAS,GLZ02766849,1068,12,13 BODEGA DE REEMBARQUES
C07181,232979,CITY EXPRESS PLUS MONTERREY GALERIAS  (CPMSJ),"MONTERREY, NL.",07/01/2026,09/01/2026,,EXXPREZO,0-1751854,520,13,Sin Informacion
C02270,232980,DOUBLETREE BY HILTON VERACRUZ (VERMA),"VERACRUZ, VER.",07/01/2026,13/01/2026,,TRES GUERRAS,GLZ02766847,890,10,03 TRANSITO ENTRE SUCURSALES
C07281,232981,CITY EXPRESS LAZARO CARDENAS (CELZC),"LAZARO CARDENAS, MCH.",07/01/2026,12/01/2026,,TRES GUERRAS,GLZ02766843,1068,12,06 DESPACHADO PARA ENTREGA DOMICI
C08883,232983,VOCO PUEBLA (PBCPL),"PUEBLA, PUE.",07/01/2026,09/01/2026,,EXXPREZO,0-1751852,280,7,Sin Informacion
C06605,232984,FAIRFIELD MARRIOT NOGALES A0097801,"NOGALES, SON.",07/01/2026,12/01/2026,,TRES GUERRAS,GLZ02766854,623,7,01 RECIBIDO EN BODEGA EMBARQUES
C07905,232990,HOTEL MARIA ISABEL,"COLIMA, COL.",07/01/2026,09/01/2026,,TRES GUERRAS,GLZ02767072,600,20,01 RECIBIDO EN BODEGA EMBARQUES
C03856,232991,BEST WESTERN RIVIERA VERACRUZ,"ALVARADO, VER.",07/01/2026,13/01/2026,,TRES GUERRAS,GLZ02766806,2581,29,03 TRANSITO ENTRE SUCURSALES
C08538,232992,HAMPTON INN AGUASCALIENTES (AGUHX),"AGUASCALIENTES, AGS.",07/01/2026,09/01/2026,,TRES GUERRAS,GLZ02766855,660,11,06 DESPACHADO PARA ENTREGA DOMICI
C07529,232993,HOTEL CASA MONARCA,"PUEBLA, PUE.",07/01/2026,09/01/2026,,EXXPREZO,0-1751851,160,4,Sin Informacion
C08905,232994,AÑORANZA HOTEL BOUTIQUE,"CIUDAD HIDALGO, MCH.",07/01/2026,12/01/2026,,TRES GUERRAS,GLZ02766809,400,2,05 RECIBIDO EN BODEGA DE REPARTO
C07337,232995,HOTEL EXTENDED SUITES COATZACOALCOS FORUM,"COATZACOALCOS, VER.",07/01/2026,13/01/2026,,TRES GUERRAS,GLZ02766860,445,5,05 RECIBIDO EN BODEGA DE REPARTO
C07334,232996,EXTENDED SUITES CIUDAD DEL CARMEN AEROPUERTO,"DEL CARMEN, CAM.",07/01/2026,14/01/2026,,TRES GUERRAS,GLZ02766858,445,4,13 BODEGA DE REEMBARQUES
C07336,232997,HOTEL EXTENDED SUITES MEXICALI CATAVIÑA,"MEXICALI, BC.",07/01/2026,14/01/2026,,TRES GUERRAS,GLZ02766857,712,8,03 TRANSITO ENTRE SUCURSALES
C07339,232998,HOTEL EXTENDED SUITES TIJUANA MACROPLAZA,"TIJUANA, BC.",07/01/2026,14/01/2026,,TRES GUERRAS,GLZ02766856,623,7,03 TRANSITO ENTRE SUCURSALES
C07333,232999,HOTEL EXTENDED SUITES SALTILLO GALERIAS,"Saltillo, COA.",07/01/2026,12/01/2026,,TINY,GD 3461086,562.43,10,Sin Informacion
C00454,233003,HOTEL MONTECARLO,"TAMPICO, TAM.",07/01/2026,09/01/2026,,TRES GUERRAS,GLZ02766818,840,14,05 RECIBIDO EN BODEGA DE REPARTO
C03950,233005,HOTEL ALAMEDA CENTRO HISTORICO,"MORELIA, MCH.",07/01/2026,12/01/2026,08/01/2026,TRES GUERRAS,GLZ02766814,2040,34,07 EMBARQUE ENTREGADO
C02052,233007,HOTEL SAN MARCOS,"SAN CRISTOBAL DE LAS CASAS, CHS.",07/01/2026,14/01/2026,,TRES GUERRAS,GLZ02767078,588,7,01 RECIBIDO EN BODEGA EMBARQUES
